"publication_name";"publication_url";"tome";"year";"url"
"Accurate, Automatic and Compressed Visualization of Radiated Helmholtz Fields from Boundary Element Solutions";"https://link.springer.com/chapter/10.1007/978-3-319-93698-7_54";"LNCS_10860";2018;"https://link.springer.com/book/10.1007/978-3-319-93698-7"
"Development of Scalable Three-Dimensional Elasto-Plastic Nonlinear Wave Propagation Analysis Method for Earthquake Damage Estimation of Soft Grounds";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_1";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A New Matrix-Free Approach for Large-Scale Geodynamic Simulations and its Performance";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_2";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Viscoelastic Crustal Deformation Computation Method with Reduced Random Memory Accesses for GPU-Based Computers";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_3";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"An Event Detection Framework for Virtual Observation System: Anomaly Identification for an ACME Land Simulation";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_4";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Enabling Adaptive Mesh Refinement for Single Components in ECHAM6";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_5";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Efficient and Accurate Evaluation of Bézier Tensor Product Surfaces";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_6";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Hybrid Swarm and Agent-Based Evolutionary Optimization";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_7";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Data-Driven Agent-Based Simulation for Pedestrian Capacity Analysis";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_8";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A Novel Agent-Based Modeling Approach for Image Coding and Lossless Compression Based on the Wolf-Sheep Predation Model";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_9";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Planning Optimal Path Networks Using Dynamic Behavioral Modeling";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_10";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Multiagent Context-Dependent Model of Opinion Dynamics in a Virtual Society";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_11";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"An Algorithm for Tensor Product Approximation of Three-Dimensional Material Data for Implicit Dynamics Simulations";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_12";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"On Two Kinds of Dataset Decomposition";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_13";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A Graph-Based Algorithm for Supervised Image Classification";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_14";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"An Adversarial Training Framework for Relation Classification";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_15";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Topic-Based Microblog Polarity Classification Based on Cascaded Model";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_16";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"An Efficient Deep Learning Model for Recommender Systems";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_17";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Standardization of Featureless Variables for Machine Learning Models Using Natural Language Processing";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_18";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Generalized Variable Conversion Using K-means Clustering and Web Scraping";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_19";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Parallel Latent Dirichlet Allocation on GPUs";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_20";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Improving Search Through A3C Reinforcement Learning Based Conversational Agent";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_21";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Architecture Emulation and Simulation of Future Many-Core Epiphany RISC Array Processors";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_22";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Automatic Mapping for OpenCL-Programs on CPU/GPU Heterogeneous Platforms";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_23";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Combining Data Mining Techniques to Enhance Cardiac Arrhythmia Detection";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_24";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"CT Medical Imaging Reconstruction Using Direct Algebraic Methods with Few Projections";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_25";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"On Blood Viscosity and Its Correlation with Biological Parameters";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_26";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Development of Octree-Based High-Quality Mesh Generation Method for Biomedical Simulation";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_27";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"1,000x Faster Than PLINK: Genome-Wide Epistasis Detection with Logistic Regression Using Combined FPGA and GPU Accelerators";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_28";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Deep Learning and Wavelets for High-Frequency Price Forecasting";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_29";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Kernel Extreme Learning Machine for Learning from Label Proportions";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_30";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Extreme Market Prediction for Trading Signal with Deep Recurrent Neural Network";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_31";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Multi-view Multi-task Support Vector Machine";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_32";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Research on Stock Price Forecast Based on News Sentiment Analysis—A Case Study of Alibaba";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_33";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Parallel Harris Corner Detection on Heterogeneous Architecture";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_34";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A New Method for Structured Learning with Privileged Information";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_35";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"An Effective Model Between Mobile Phone Usage and P2P Default Behavior";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_36";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A Novel Data Mining Approach Towards Human Resource Performance Appraisal";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_37";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Word Similarity Fails in Multiple Sense Word Embedding";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_38";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A Hybrid Optimization Algorithm for Electric Motor Design";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_39";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Dynamic Current Distribution in the Electrodes of Submerged Arc Furnace Using Scalar and Vector Potentials";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_40";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Optimising Deep Learning by Hyper-heuristic Approach for Classifying Good Quality Images";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_41";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"An Agent-Based Distributed Approach for Bike Sharing Systems";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_42";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"A Fast Vertex-Swap Operator for the Prize-Collecting Steiner Tree Problem";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_43";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Solving CSS-Sprite Packing Problem Using a Transformation to the Probabilistic Non-oriented Bin Packing Problem";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_44";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Optimization of Resources Selection for Jobs Scheduling in Heterogeneous Distributed Computing Environments";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_45";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
"Explicit Size-Reduction-Oriented Design of a Compact Microstrip Rat-Race Coupler Using Surrogate-Based Optimization Methods";"https://link.springer.com/chapter/10.1007/978-3-319-93701-4_46";"LNCS_10861";2018;"https://link.springer.com/book/10.1007/978-3-319-93701-4"
